Timestamp (s),Position (mm),Force (N),Torque,Stage
1539655347.930866,-19.8634,0.17914629600000043,-1032,0
1539655347.962612,-19.6678,0.22163144399999998,-1268,0
1539655347.9944398,-19.479,0.22163144399999998,-1208,0
1539655348.0263839,-19.2882,0.22163144399999998,-1214,0
1539655348.0585191,-19.0977,0.22163144399999998,-1226,0
1539655348.091895,-18.9052,0.22163144399999998,-1192,0
1539655348.122902,-18.7034,0.22163144399999998,-1178,0
1539655348.1548429,-18.5174,0.17914629600000043,-1196,0
1539655348.186621,-18.3271,0.17914629600000043,-1188,0
1539655348.218648,-18.1372,0.2641165920000018,-1204,0
1539655348.250765,-17.9453,0.22163144399999998,-1140,0
1539655348.282511,-17.7528,0.22163144399999998,-1178,0
1539655348.314993,-17.5624,0.17914629600000043,-1208,0
1539655348.346866,-17.3679,0.22163144399999998,-1184,0
1539655348.378741,-17.1757,0.22163144399999998,-1194,0
1539655348.410859,-16.9868,0.22163144399999998,-1160,0
1539655348.443109,-16.7948,0.22163144399999998,-1166,0
1539655348.474646,-16.6004,0.17914629600000043,-1114,0
1539655348.507172,-16.4129,0.22163144399999998,-1156,0
1539655348.538881,-16.2179,0.17914629600000043,-1102,0
1539655348.5708952,-16.0278,0.22163144399999998,-1138,0
1539655348.6029692,-15.8363,0.22163144399999998,-1122,0
1539655348.634967,-15.6476,0.22163144399999998,-1036,0
1539655348.6669781,-15.457,0.22163144399999998,-1126,0
1539655348.698928,-15.2625,0.22163144399999998,-1114,0
1539655348.730749,-15.0681,0.22163144399999998,-1116,0
1539655348.762989,-14.8774,0.22163144399999998,-1150,0
1539655348.7948742,-14.6827,0.17914629600000043,-1158,0
1539655348.8272069,-14.4943,0.22163144399999998,-1058,0
1539655348.859066,-14.2988,0.22163144399999998,-1028,0
1539655348.891283,-14.1127,0.22163144399999998,-1000,0
1539655348.9230132,-13.9165,0.22163144399999998,-1064,0
1539655348.954844,-13.7261,0.22163144399999998,-1100,0
1539655348.98733,-13.5356,0.17914629600000043,-1048,0
1539655349.0193658,-13.3388,0.22163144399999998,-1032,0
1539655349.05143,-13.15,0.22163144399999998,-1052,0
1539655349.083406,-12.9572,0.22163144399999998,-1006,0
1539655349.115106,-12.7668,0.22163144399999998,-1054,0
1539655349.1471438,-12.5763,0.22163144399999998,-1004,0
1539655349.1790578,-12.3814,0.22163144399999998,-1036,0
1539655349.2111402,-12.1902,0.22163144399999998,-1084,0
1539655349.243392,-11.9978,0.22163144399999998,-1052,0
1539655349.275383,-11.8025,0.22163144399999998,-1066,0
1539655349.307544,-11.6095,0.22163144399999998,-1098,0
1539655349.339159,-11.4174,0.17914629600000043,-1084,0
